Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Off street car parking,Water,11-Apr-2019,200043355,Water Plus Ltd,"2,771.53"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,17-Apr-2019,200043458,Hughes Brothers,"4,535.02"
Barrow Borough Council,A - Furness Voices,Professional fees,11-Apr-2019,200043301,Linney PA Systems,581.63
Barrow Borough Council,Corporate management,Professional fees,11-Apr-2019,200043345,North West Employers,"7,500.00"
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,735.26
Barrow Borough Council,Licensing,Solicitors fees,11-Apr-2019,200043281,Brown Barron Solicitors,732.25
Barrow Borough Council,Community involvement - HRA,Newsletters,17-Apr-2019,200043395,HSP Milners,"1,253.00"
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,-686.66
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043437,NPower,708.36
Barrow Borough Council,Coast protection,CAPITA dbs fees,25-Apr-2019,200043529,Capita Property & Infrastructure Ltd,"3,577.50"
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,11-Apr-2019,200043353,Liberata Uk Ltd,"9,195.07"
Barrow Borough Council,Office support - admin,Photocopying charges,17-Apr-2019,200043438,Ricoh UK Ltd,811.73
Barrow Borough Council,Conducting elections,Postage,11-Apr-2019,200043363,Democracy Counts Ltd,"17,914.00"
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,736.54
Barrow Borough Council,The markets,Electricity,25-Apr-2019,200043478,NPower,959.99
Barrow Borough Council,Emlyn Hughes house,Planned Building repairs and maintenance,25-Apr-2019,200043496,Gilmour Fabrications,"3,576.00"
Barrow Borough Council,Office support - admin,Photocopier rental,17-Apr-2019,200043438,Ricoh UK Ltd,941.94
Barrow Borough Council,Capitalised Planned Maintenance,Doors and windows,17-Apr-2019,200043452,Top Notch Contractors Ltd,"5,293.01"
Barrow Borough Council,Capitalised Planned Maintenance,Doors and windows,17-Apr-2019,200043453,Wrekin Windows,"-2,268.66"
Barrow Borough Council,Coastal Communities Fund,Professional fees,11-Apr-2019,200043296,Aspen & Acorn Ltd,559.00
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,729.87
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,680.92
Barrow Borough Council,Licensing,Subscriptions,11-Apr-2019,200043327,RH Environmental Ltd,"1,170.00"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,11-Apr-2019,200043277,Plumbing Trade Supplies,"1,608.96"
Barrow Borough Council,Capitalised Planned Maintenance,Doors and windows,17-Apr-2019,200043453,Wrekin Windows,"13,162.81"
Barrow Borough Council,Regeneration,Subscriptions,25-Apr-2019,200043546,APSE,"2,462.00"
Barrow Borough Council,Emlyn Hughes house,Electricity,25-Apr-2019,200043478,NPower,612.02
Barrow Borough Council,Capitalised Planned Maintenance,Doors and windows,17-Apr-2019,200043432,Baker Mallett,850.00
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,25-Apr-2019,200043525,Rexel UK Ltd,"1,789.11"
Barrow Borough Council,Disabled Facilities Grant,Grants,11-Apr-2019,200043356,Airey Property Developements & Adapations,"3,100.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,11-Apr-2019,200043342,PJ Smith (Garafix) Ltd,675.00
Barrow Borough Council,Housing Revenue Account,Cleaning,01-Apr-2019,DD010419,Phoenix Cleaning Agency,"1,823.75"
Barrow Borough Council,General Refund Revenue Support,Other General Government,02-Apr-2019,DD020419,DCLG,"4,150.00"
Barrow Borough Council,Jason Donovan,Professional Fees,04-Apr-2019,DD040419,RLN Music,"10,317.01"
Barrow Borough Council,Customer Services,Professional fees,04-Apr-2019,DD040419,Mpathy Plus,"15,000.00"
Barrow Borough Council,The Forum,Software maintenance,04-Apr-2019,DD040419,Footfall Logistics Ltd,551.76
Barrow Borough Council,U-Dance Show,Recoverable charges,04-Apr-2019,DD040419,Assoc for Dance Health & Education,"1,752.78"
Barrow Borough Council,CIS - Inland Revenue Account,CIS Tax,08-Apr-2019,DD080419,HMRC,"1,070.71"
Barrow Borough Council,Waterfront Gateway Business,Building and Construction,12-Apr-2019,DD120419,Thomas Armstrong (Construction) Ltd,"170,229.41"
Barrow Borough Council,Homelessness,Accommodation,15-Apr-2019,DD150419,Travelodge,"1,058.40"
Barrow Borough Council,Anfield Legends,Recoverable charges,15-Apr-2019,DD150419,Aspiremedia Productions,"15,596.68"
Barrow Borough Council,Corporate Costs,Bank Charges,16-Apr-2019,DD160419,HSBC,609.77
Barrow Borough Council,Technical Services,Telephone Charges,16-Apr-2019,DD160419,BT,"4,382.84"
Barrow Borough Council,DBS - Licensing,Professional Fees,18-Apr-2019,DD180419,DBS,748.00
Barrow Borough Council,Corporats Costs,Professional Fees,23-Apr-2019,DD230419,Capita Business Services Limited,"2,651.64"
Barrow Borough Council,Community Development,Equipment Purchase,23-Apr-2019,DD230419,Zest Cumbria,"10,762.00"
Barrow Borough Council,Housing,Court Costs,24-Apr-2019,DD240419,HMCTS,650.00
Barrow Borough Council,Capital - Crematorium,Installation of plant and equipment,25-Apr-2019,DD250419,ATI Environment,"78,375.96"
Barrow Borough Council,Corporate Costs,Professional Fees,26-Apr-2019,DD260419,Allpay,"2,817.24"
Barrow Borough Council,Coastal Communities,Printing and stationery,29-Apr-2019,DD290419,Plain Creative Agency Ltd,"1,152.00"
